Title,Price,Rating,Discount,Source,URL
"Philips Speed Pro DST3020/30 Steam iron 2200 W - World's No 1 Ironing brand, 35 gm/min Steam with 160 gm Steam Boost, Ceramic Soleplate, Drip Stop technology & 300 ml Water tank",₹3199,N/A,(29% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDUwNDcyNzI5NTk3NDYyOjE3NTgyNjcxMzY6c3BfYXRmOjMwMDUxNzEzNzY5MTEzMjo6MDo6&url=%2FPhilips-Speed-DST3020-30-Steam%2Fdp%2FB0DV1Q1QCL%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w%26dib_tag%3Dse%26keywords%3DIRON%26qid%3D1758267136%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=TiOaGO6lLx&sp_cr=ZAZ
Havells Blaze Dry Iron 2 KG Heavy Weight Dry Iron| 1250W| American Heritage Non-stick Coated Sole Plate For Smooth Gliding & Long Life| Aerodynamic Design| 2 Year Manufacturer Warranty (Black),₹1187,N/A,(43% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDUwNDcyNzI5NTk3NDYyOjE3NTgyNjcxMzY6c3BfYXRmOjMwMDIzOTg1MTk0NTAzMjo6MDo6&url=%2FHavells-American-Heritage-Non-stick-Aerodynamic%2Fdp%2FB0CYH6JV5G%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w%26dib_tag%3Dse%26keywords%3DIRON%26qid%3D1758267136%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=HQeXKNUN9C&sp_cr=ZAZ
Orient Electric Fabrijoy 1000 Watt Dry Iron for clothes with Weilburger Non Stick Soleplate coating | 5 level safety| 2 Years Replacement Warranty by Orient,₹498,N/A,(54% off),Amazon,https://www.amazon.in/Orient-Electric-Fabrijoy-DIFJ10BP-1000-Watt/dp/B01MY839VW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-3
"Havells Dry Iron Dazzle 1100 Watts, Iron Press, Greblon Non Sick Soleplate with German Technology, Shock Proof Body, Aerodynamic Design, 360° Swivel Cord, 2 Year Manufacturer Warranty (Black)",₹649,N/A,(46% off),Amazon,https://www.amazon.in/Havells-Dazzle-German-Technology-Warranty/dp/B0BV723C45/ref=sr_1_4?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-4
Bajaj DX-6 1000 Watts Dry Iron | Advance Soleplate And Anti-Bacterial German Coating Technology | Thermol Fuse Safety | Auto Shut-Off | Cool Touch Body | 2 Yr Warranty 【White】,₹699,N/A,(50% off),Amazon,https://www.amazon.in/Bajaj-Advance-Soleplate-Anti-bacterial-Technology/dp/B01C8P29N0/ref=sr_1_5?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-5
"Philips Steam Iron GC1905/21 (World no. 1 Ironing Brand) – Black non-stick soleplate, Powerful 17gm/min steam output & 1300 W Quick heat-up",₹1549,N/A,(33% off),Amazon,https://www.amazon.in/Philips-GC1905-1440-Watt-Steam-Spray/dp/B008QTK47Q/ref=sr_1_6?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-6
"Longway Kwid Light Weight Non-Stick Teflon Coated Dry Iron, Electric Iron for Clothes (1100 Watt, Black)",₹399,N/A,(55% off),Amazon,https://www.amazon.in/Longway-Weight-Non-Stick-Electric-Clothes/dp/B0DT9N979W/ref=sr_1_7?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-7
Bajaj Stainless Steel Majesty DX-11 1000 Watts Dry Iron | Advance Soleplate And Anti-Bacterial German Coating Technology | Automatic Shut Off | Thermal Safety Fuse | 2-Yrs Warranty 【White & Blue】,₹575,N/A,(27% off),Amazon,https://www.amazon.in/Bajaj-Stainless-Soleplate-Anti-Bacterial-Technology/dp/B01C8P29T4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-8
USHA Armor 1100 watts Dry Iron with Shock Proof Plastic Body | Single Coat Black Non Stick Soleplate for Longer Durability|Overheat Safety Shutoff |180° Swivel Cord | 2 Years Warranty|(Purple & White),₹636,N/A,(36% off),Amazon,https://www.amazon.in/USHA-Armor-Ar1100Wb-Weilburger-Soleplate/dp/B0883KDSXC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-9
Bajaj DX-7 1000 Watts Dry Iron | Advance Soleplate And Anti-Bacterial German Coating Technology | Light Weight Iron | Thermal Safety Fuse | 360 Degree Swivel Cord | 2-Yrs Warranty 【White】,₹799,N/A,(51% off),Amazon,https://www.amazon.in/Bajaj-Advance-Soleplate-Anti-bacterial-Technology/dp/B008YW8M0G/ref=sr_1_10?dib=eyJ2IjoiMSJ9.YxBW2_TTMamBMyG2YM8uKO7xnlYAFwBZ6PD9v-YOVS3xBX4jTRXD6RMFcDd3f-SjBgUJpxp0Ej0BV54ffAXENSzqWG-EoTzK0coCtJa6ulu_Aj7Dayrfuk4kxGQ45x2y7wHtvbtmG_EyLJtbkA_T6RZCKAS9_-10yL6vYNEzVMc6464lvyATNhIJpfwQOJtuRm_-kWREylG4cAGHyA8qMSUDjfmWsFhTnWvbcVS-GvU.8YgT3kyKc4zqNtJvNHa0Mkl4H2uArBM34DDr7mNDQ1w&dib_tag=se&keywords=IRON&qid=1758267136&sr=8-10
