Title,Price,Rating,Discount,Source,URL
"Samsung 7 kg, 5 Star, Eco Bubble Technology, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA70BG4441YYTL, Lavender Gray)",₹17300,N/A,(23% off),Amazon,https://www.amazon.in/Samsung-Inverter-Fully-Automatic-WA70BG4441YYTL-Technology/dp/B0B8NHX62W/ref=sr_1_1?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-1
"Samsung 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",₹19990,N/A,(26% off),Amazon,https://www.amazon.in/Samsung-Fully-Automatic-Ecobubble-WA80BG4441BGTL-Technology/dp/B0B8NK5HTH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-2
"Samsung 8 kg, 5 star, Semi-Automatic Top Load Washing Machine (WT80C4200GG/TL, Air Turbo Drying, Light Gray, 5 Year Warranty on Wash Motor)",₹12490,N/A,(22% off),Amazon,https://www.amazon.in/Samsung-Semi-Automatic-Washing-WT80C4200GG-TL/dp/B0CVQ8DX8H/ref=sr_1_3?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-3
"Samsung 6.5 kg, 5 star, Semi-Automatic Top Load Washing Machine (WT65R2200LL/TL, Air Turbo Drying, LIGHT GRAY, 5 Year Warranty on Wash Motor)",₹9290,N/A,(26% off),Amazon,https://www.amazon.in/Samsung-Semi-Automatic-Loading-WT65R2200LL-TL/dp/B09T6NX8W2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-4
"Samsung 9 kg, 5 star, Eco Bubble Technology, Wi-Fi, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA90BG4542BDTL, Versailles Gray)",₹22490,N/A,(26% off),Amazon,https://www.amazon.in/Samsung-Fully-Automatic-Ecobubble-WA90BG4542BDTL-technology/dp/B0B8NHPWZF/ref=sr_1_5?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-5
"Samsung 9 kg, 5 star, AI EcoBubble, Super Speed, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Fully-Automatic Front Load Washing Machine (WW90DG5U24AXTL, Inox)",₹39990,N/A,(22% off),Amazon,https://www.amazon.in/Samsung-EcoBubble-Inverter-Fully-Automatic-WW90DG5U24AXTL/dp/B0DRYMKCW4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-6
"Samsung 7 kg, 5 star, Semi Automatic Top Load Washing Machine (WT70M3000UU/TL, Air Turbo Drying, LIGHT GRAY, 5 Year Warranty on Wash Motor)",₹10790,N/A,(24% off),Amazon,https://www.amazon.in/Samsung-Semi-Automatic-WT70M3000UU-TL-Pulsator/dp/B09T6NH99B/ref=sr_1_7?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-7
"Samsung 7 kg, 5 star, EcoBubble Technology, Hygiene Steam with Inbuilt Heater, Digital Inverter, Fully-Automatic Front Load Washing Machine (WW70R22EK0X/TL, INOX GRAY)",₹29990,N/A,(40% off),Amazon,https://www.amazon.in/Samsung-Technology-Fully-Automatic-WW70R22EK0X-TL/dp/B0DYVQR2CY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-8
"Samsung 10 Kg, 5 Star, AI Wash, Ecobubble, AI Energy Mode, AI VRT+, Soft Closing Door, Wi-Fi, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA80F10E2LTL, Lavender Gray)",₹25990,N/A,(24% off),Amazon,https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WA80F10E2LTL/dp/B0F2S2YTKP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-9
"Samsung 9.5 Kg, 5 Star, Semi-Automatic Top Load Washing Machine (WT95A4260GD/TL, Air Turbo Drying, Dark Gray, 5 Year Warranty on Wash Motor)",₹14690,N/A,(28% off),Amazon,https://www.amazon.in/Samsung-Semi-Automatic-Washing-WT95A4260GD-TL/dp/B0BV2RJV1B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.1XALfXgJxk24Mo-mL4AuxIltSXHGfHQ_ZpvBiI8-Qyw37jdDIlpgY0xhFHGKji2vO-ZReR0uxLX16Rnlvle1bERuQhYqaqK9vwNMIXiKVv8US-NSTgvBUGejb7iSuNG7-ETaw_DlfMJO15rnC-RfU8xxfjGCBH3KPAvc4tYeyTi0MgDCBDRjGD7_6CIX6rdb_pj0j3VEGMo5S-IIHBComcKqJwFyh4ZhO57OU6aCIQ4.KeAiaHlkl7rgmc80fTGeXFJztcGCkkzJxRWUgDwvuJE&dib_tag=se&keywords=samsung+washing+machine&nsdOptOutParam=true&qid=1758254877&sr=8-10
