Title,Price,Rating,Discount,Source,URL
Samsung,Rs.99999,N/A,(23% off),Amazon,N/A
"Samsung Galaxy S24 Snapdragon 8 Gen 3 5G (Onyx Black, 128 GB) (8 GB RAM)",Rs.47490,N/A,(37% off),Amazon,N/A
Samsung,Rs.130999,N/A,(6% off),Amazon,N/A
OnePlus,Rs.55499,N/A,(8% off),Amazon,N/A
Samsung,Rs.39999,N/A,N/A,Amazon,N/A
Samsung,Rs.87998,N/A,N/A,Amazon,N/A
Samsung,Rs.174998,N/A,N/A,Amazon,N/A
Samsung,Rs.130999,N/A,(6% off),Amazon,N/A
Samsung,Rs.999,N/A,(71% off),Amazon,N/A
Samsung,Rs.150999,N/A,(6% off),Amazon,N/A
OnePlus,Rs.50499,N/A,(8% off),Amazon,N/A
Redmi,Rs.27999,N/A,(3% off),Amazon,N/A
Samsung,Rs.107990,N/A,(17% off),Amazon,N/A
OnePlus,Rs.72998,N/A,(5% off),Amazon,N/A
OpenTech,Rs.292,N/A,(71% off),Amazon,N/A
XIAOMI,Rs.139999,N/A,(18% off),Amazon,N/A
SupCares,Rs.292,N/A,(63% off),Amazon,N/A
Samsung,Rs.107990,N/A,(17% off),Amazon,N/A
OnePlus,Rs.50499,N/A,(8% off),Amazon,N/A
Redmi,Rs.27999,N/A,(3% off),Amazon,N/A
Amazon Brand - Solimo,Rs.179,N/A,(64% off),Amazon,N/A
AIBEX,Rs.469.,N/A,(61% off),Amazon,N/A
Samsung,Rs.48899,N/A,(35% off),Amazon,N/A
Nillkin,Rs.738,N/A,(75% off),Amazon,N/A
Spigen,Rs.999,N/A,(44% off),Amazon,N/A
Samsung,Rs.107998,N/A,N/A,Amazon,N/A
"45W USB-C Super Fast Charger Adapter Compatible with Samsung Galaxy S24 Ultra/S23 Ultra/S22 Ultra/S21 FE, Type-C PD 3.0 Fast Charging Wall Charger",Rs.598,N/A,(70% off),Amazon,N/A
TheGiftKart,Rs.348,N/A,(65% off),Amazon,N/A
DR VAKU,Rs.997.,N/A,(52% off),Amazon,N/A
Supershieldz,Rs.284,N/A,(86% off),Amazon,N/A
Samsung,Rs.95998,N/A,N/A,Amazon,N/A
Spigen,Rs.999,N/A,(58% off),Amazon,N/A
XIAOMI,Rs.89999,N/A,(25% off),Amazon,N/A
