Title,Price,Rating,Discount,Source,URL
Apple iPhone 15 (256 GB) - Pink,Rs.59990,N/A,(25% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDk3NDEzNzM4NTgwNDcxOjE3NjQxODI4ODc6c3BfYXRmOjMwMDA1NDM0NTk0NzkzMjo6MDo6&url=%2FApple-iPhone-15-256-GB%2Fdp%2FB0CHX4CRND%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE%26dib_tag%3Dse%26keywords%3Diphone%2B16%2Bpro%26qid%3D1764182887%26sr%3D8-1-spons%26aref%3Dldh1rVatmN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=ldh1rVatmN&sp_cr=ZAZ
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",Rs.66900,N/A,(16% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDk3NDEzNzM4NTgwNDcxOjE3NjQxODI4ODc6c3BfYXRmOjMwMDMzNDI1NjgzMzYzMjo6MDo6&url=%2FiPhone-16-128-GB-Control%2Fdp%2FB0DGJH8RYG%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE%26dib_tag%3Dse%26keywords%3Diphone%2B16%2Bpro%26qid%3D1764182887%26sr%3D8-2-spons%26aref%3Dk6BoqqlGUN%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=k6BoqqlGUN&sp_cr=ZAZ
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",Rs.66900,N/A,(16% off),Amazon,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJHBX5Y/ref=sr_1_3?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-3
"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Deep Blue",Rs.134900,N/A,N/A,Amazon,https://www.amazon.in/iPhone-Pro-256-Promotion-Breakthrough/dp/B0FQFYYPZF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-4
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",Rs.66900,N/A,(16% off),Amazon,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJH8RYG/ref=sr_1_5?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-5
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",Rs.76490,N/A,(15% off),Amazon,https://www.amazon.in/iPhone-16-Plus-128-GB/dp/B0DGJ6JS1D/ref=sr_1_6?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-6
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine",Rs.66900,N/A,(16% off),Amazon,https://www.amazon.in/iPhone-16-128-GB-Ultramarine/dp/B0DGJ7TGDR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-7
"iPhone 17 Pro Max 256 GB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Deep Blue",Rs.149900,N/A,N/A,Amazon,https://www.amazon.in/iPhone-Pro-Max-256-Promotion/dp/B0FQFV2XKS/ref=sr_1_8?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-8
OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 8GB + 256GB | Phantom Grey,Rs.31998,N/A,(9% off),Amazon,https://www.amazon.in/OnePlus-Snapdragon-Flagship-Powered-Phantom/dp/B0FCML66W9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-9
"iPhone Charger Adapter 20W Original Type C for iPhone 16/16 Plus/16 Pro/16 Pro Max, 15/14/13/12/11 Series with PD 3.0 USB-C Fast Charging Adaptor BIS Certified",Rs.474,N/A,(70% off),Amazon,https://www.amazon.in/Charger-Adapter-Charging-Adaptor-Certified/dp/B0D5YQWKYL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.pN1itJsmZpMcWidfLn9TQxY_5k20EyKxVxd1RIiEwupXzIakXSd6Qkb0TnmL3q1t6cNW10c5qet2kIGaJ16YLvDiXcf-ntWXhQ5ZG82oTTbM9YNAUo4LRhLD251GyRfuSXGMENSk0tuGw_IMh4siPvVlD8lbZffCe1YvgKUHGmHxMtqZC7QJs5EeJMgZFWIiVKjFmRvXJZwtpG-x_tx3d_VWmMUW2Yjs2W2eqM8RG7I.QZhEX1qC07TnavD0Zmwx7wdhUrtJiNDU-gGIxz1M_bE&dib_tag=se&keywords=iphone+16+pro&qid=1764182887&sr=8-10
