Title,Price,Rating,Discount,Source,URL
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White",Rs.66900,N/A,(16% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzg5ODQwMjc2OTg1MjQ6MTc2NDE4MTgyNTpzcF9hdGY6MzAwMzM0MjU2ODMzNTMyOjowOjo&url=%2FiPhone-16-128-GB-Control%2Fdp%2FB0DGHZWBYB%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw%26dib_tag%3Dse%26keywords%3Diphone%2B17%26qid%3D1764181825%26sr%3D8-1-spons%26aref%3Df1qeTppNQw%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=f1qeTppNQw&sp_cr=ZAZ
"iPhone 17 Pro 256 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Deep Blue",Rs.134900,N/A,N/A,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMzg5ODQwMjc2OTg1MjQ6MTc2NDE4MTgyNTpzcF9hdGY6MzAwNzE0MTI5MDI0MTMyOjowOjo&url=%2FiPhone-Pro-256-Promotion-Breakthrough%2Fdp%2FB0FQFYYPZF%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw%26dib_tag%3Dse%26keywords%3Diphone%2B17%26qid%3D1764181825%26sr%3D8-2-spons%26aref%3Dwxc0OTgSPc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=wxc0OTgSPc&sp_cr=ZAZ
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",Rs.66900,N/A,(16% off),Amazon,https://www.amazon.in/iPhone-16-128-GB-Control/dp/B0DGJH8RYG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-3
"iPhone 17 Pro Max 1 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Silver",Rs.189900,N/A,N/A,Amazon,https://www.amazon.in/iPhone-17-Pro-Max-Promotion/dp/B0FQF9B6K3/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-4
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",Rs.76490,N/A,(15% off),Amazon,https://www.amazon.in/iPhone-16-Plus-128-GB/dp/B0DGJ6JS1D/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-5
"iPhone 17 Pro Max 1 TB: 17.42 cm (6.9″) Display with Promotion, A19 Pro Chip, Best Battery Life in Any iPhone Ever, Pro Fusion Camera System, Center Stage Front Camera; Deep Blue",Rs.189900,N/A,N/A,Amazon,https://www.amazon.in/iPhone-17-Pro-Max-Promotion/dp/B0FQFJKBVY/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-6
"iPhone 17 Pro 512 GB: 15.93 cm (6.3″) Display with Promotion up to 120Hz, A19 Pro Chip, Breakthrough Battery Life, Pro Fusion Camera System with Center Stage Front Camera; Deep Blue",Rs.154900,N/A,N/A,Amazon,https://www.amazon.in/iPhone-Pro-512-Promotion-Breakthrough/dp/B0FQF5DG3P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-7
"iPhone 16 Plus 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultrmarine",Rs.76490,N/A,(15% off),Amazon,https://www.amazon.in/iPhone-16-128-Plus-Ultrmarine/dp/B0DGJ65N7V/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-8
"iPhone Air 256 GB: Thinnest iPhone Ever, 16.63 cm (6.5″) Display with Promotion up to 120Hz, Powerful A19 Pro Chip, Center Stage Front Camera, All-Day Battery Life; Light Gold",Rs.116900,N/A,(3% off),Amazon,https://www.amazon.in/iPhone-Air-256-GB-Promotion/dp/B0FQFTV1NP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-9
OnePlus 15 | 12GB+256GB | Infinite Black | India's First Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalised AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,Rs.72999,N/A,(5% off),Amazon,https://www.amazon.in/OnePlus-Infinite-Snapdragon%C2%AE-Personalised-Game-Changing/dp/B0FTR5NGHJ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OrjyHX9jH_pRqqiriQGEytGDfBUkHjxsmR1q4L9TMzWAR0x161_OxqEhxWWGOyF0-DaUO33dr7EeNyY_O2R-gbPhvE5noWjiZRXXO-tBW0hGMCUbI_f8AQKVIkypmSpidrxdJV1LwdYts7bLqkev2LisbSnLQUfjCPzw6oN6Ktlxsdm6sXNlKJKlkvOLT13etl3L6keo_q4iVOWdpqAZaHIb33dHn86qTh1_9iHonqQ.2JC0E0RhvGb7TOTKAv4OoOUOhzv0smLBn4gMGJ7_nvw&dib_tag=se&keywords=iphone+17&qid=1764181825&sr=8-10
