Title,Price,Rating,Discount,Source,URL
"realme NARZO 80 Pro 5G (Speed Silver,8GB+256GB) | Segment's 1st MediaTek Dimensity 7400 Chipset | 6000mAh Titan Battery + 80W Ultra Charge | 4500nits HyperGlow Esports Display | IP69 Waterproof",Rs.21999,N/A,(15% off),Amazon,N/A
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in the Box",Rs.11999,N/A,N/A,Amazon,N/A
"Samsung Galaxy M06 5G Mobile (Blazing Black, 6GB RAM, 128GB Storage) | MediaTek Dimensity 6300 | AnTuTu 623K+ | 12 5G Bands | 25W Fast Charging | 4 Gen OS Upgrades | 50MP Camera | Without Charger",Rs.13499,N/A,(13% off),Amazon,N/A
"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",Rs.9499,N/A,(14% off),Amazon,N/A
"realme NARZO 80 Lite 4G (Obsidian Black, 4GB+64GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist",Rs.8999,N/A,N/A,Amazon,N/A
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",Rs.18999,N/A,(34% off),Amazon,N/A
"iQOO Z11x 5G (Titan Black, 6GB RAM, 128 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6",Rs.18999,N/A,(34% off),Amazon,N/A
"Nothing Phone (3a) Lite (White, 128 GB) (8 GB RAM)",Rs.22196,N/A,(26% off),Amazon,N/A
"Vivo V60 5G (Mist Gray, 16GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers",Rs.45999,N/A,(10% off),Amazon,N/A
"Motorola Edge 60 Stylus (Web, 8+256)",Rs.20750,N/A,(28% off),Amazon,N/A
Original Hyper Bass Wireless Earphones 3D Spatial Audio Compatible with OnePlus Z3 Bluetooth Neckband with Mic 12.4mm Drivers IP55 Lightweight Comfort (Orange),Rs.999,N/A,(50% off),Amazon,N/A
"Samsung Galaxy M36 5G Mobile (Velvet Black, 8GB RAM, 128GB Storage) | Google Gemini| Gorilla Glass Victus+ | 7.7mm | AI Enhanced 50MP OIS Triple Camera| Nightography| Lag-free Gaming | Without Charger",Rs.20499,N/A,(24% off),Amazon,N/A
Redmi A5 Jaisalmer Gold (3GB RAM 64GB Storage) | Royale Design | Segment's Largest 17.47cm(6.88) and Smoothest 120Hz Display | 5200mAh Large Battery | Expandable Storage up to 2TB,Rs.8999,N/A,N/A,Amazon,N/A
"vivo V60e 5G (Elite Purple, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Rs.31999,N/A,(9% off),Amazon,N/A
"Samsung Galaxy M56 5G Mobile (Light Green,8GB RAM,256GB Storage)| Segment's Slimmest|Gorilla Glass Victus+| 10 Bit HDR Video| 50MP Camera| AI | Vapour Cooling Chamber| Lag-free Gaming| Without Charger",Rs.24999,N/A,(26% off),Amazon,N/A
"Motorola G57 Power 5G (Corsair, 8GB RAM, 128GB Storage) | Snapdragon 6s Gen 4 Processor | 6.72"" FHD+ Display | 50MP LYT-600 + 8MP Ultrawide | 8MP Selfie Camera | 7000mAh Battery, 33W TurboPower | IP64",Rs.15999,N/A,(20% off),Amazon,N/A
Redmi 15 5G Midnight Black 6GB + 128GB | Segment's Largest 7000mAhA Battery | Segment's Largest Display 17.53cm(6.9) Up to 144Hz | Snapdragon 6s Gen 3 | 18W Reverse Charging | 50MP AI Dual Camera,Rs.16499,N/A,(3% off),Amazon,N/A
Original Hyper Bass Wireless Earphones 3D Spatial Audio Compatible with OnePlus Z3 Bluetooth Neckband with Mic 12.4mm Drivers IP55 Lightweight Comfort (Orange),Rs.999,N/A,(50% off),Amazon,N/A
"VIVO T4x (Pronto Purple, 6GB + 128GB)",Rs.16999,N/A,(6% off),Amazon,N/A
"iQOO Z10R 5G (Aquamarine, 8GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu",Rs.24999,N/A,N/A,Amazon,N/A
"vivo V70 5G (Passion Red, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",Rs.45999,N/A,(10% off),Amazon,N/A
"SAMSUNG Galaxy F07 (Green, 64 GB) (4 GB RAM)",Rs.8965,N/A,(10% off),Amazon,N/A
