Title,Price,Rating,Discount,Source,URL
OnePlus Nord CE5 | MediaTek Dimensity | Massive 7100mAh Battery | Powered by OnePlus AI | 128GB 8GB | Black Infinity,N/A,N/A,N/A,Amazon,N/A
"iQOO Z10R 5G (Aquamarine, 12GB RAM, 256GB Storage) | 32MP 4K Selfie Camera | Quad-Curved AMOLED Display | Dimensity 7400 Processor with 750K+ AnTuTu Score",Rs.26999,N/A,N/A,Amazon,N/A
"iQOO Z10 5G (Stellar Black, 8GB RAM, 256GB Storage) | India's Biggest Ever 7300 mAh Battery | Snapdragon 7s Gen 3 Processor | Brightest Quad Curved AMOLED Display in the Segment",Rs.26999,N/A,(4% off),Amazon,N/A
"Nothing Phone (3a) Lite (White, 256 GB) (8 GB RAM)",Rs.23790,N/A,(5% off),Amazon,N/A
"Motorola Edge 60 Fusion 5G (Pantone Slipstream, 12GB RAM, 256GB Storage)",Rs.27424,N/A,(2% off),Amazon,N/A
"vivo T4 5G (Emerald Blaze, 12GB RAM+256GB Storage)| Snapdragon 7s Gen 3 | 120Hz Quad-Curved AMOLED | 7300mAh+90W Fast Charge | 50MP Sony OIS Camera | Military Grade Build | AI Photo Enhance | AI Erase",Rs.27779,N/A,(7% off),Amazon,N/A
"Oppo F31 Pro 5G (Space Grey, 8GB RAM, 128GB Storage)",Rs.27999,N/A,(13% off),Amazon,N/A
"Motorola Edge 60 Pro (Pantone Dazzling Blue, 8GB RAM, 256GB Storage)",Rs.29999,N/A,(19% off),Amazon,N/A
"iQOO Z11x 5G (Titan Black, 8GB RAM, 256 GB Storage) | Dimensity 7400-Turbo Processor | 7200 mAh Battery Smartphone | Powered by OriginOS 6",Rs.22999,N/A,(32% off),Amazon,N/A
"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",Rs.18999,N/A,(34% off),Amazon,N/A
Nothing Phone (3a) Black 256GB 8GB RAM,Rs.29999,N/A,N/A,Amazon,N/A
"Nothing Phone (3a) Pro 5G (Black, 8GB RAM + 256GB Storage)",Rs.29999,N/A,(14% off),Amazon,N/A
"REDMI Note 15 5G (Black, 8GB RAM 256GB Storage) | 108MP OIS Camera | Snapdragon 6 Gen 3 | 17.2cm Tough Curved AMOLED Screen | Segment's Slimmest Phone | 5520mAh Battery | 45W Fast Charging",Rs.27999,N/A,(3% off),Amazon,N/A
"Motorola Edge 60 Fusion 5G Smartphone with 6.67"" 120Hz pOLED Display, 50MP OIS Camera, Android 14, Dimensity 7030 Processor, 68W Fast Charging (Pantone Amazonite, 8GB + 256GB Storage)",Rs.24899,N/A,(4% off),Amazon,N/A
"Samsung Galaxy A35 5G (Awesome Lilac, 8GB RAM, 128GB Storage) | Premium Glass Back | 50 MP Main Camera (OIS) | Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED with Vision Booster",Rs.28999,N/A,(15% off),Amazon,N/A
"vivo Y400 Pro 5G (Fest Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",Rs.27999,N/A,(3% off),Amazon,N/A
