Title,Price,Rating,Discount,Source,URL
"Samsung Galaxy S26 5G (Cobalt Violet, 12GB RAM, 256GB Storage), AI Phone, Photo Assist, Creative Studio, 50MP Camera with ProVisual Engine, Powerful Customized Processor and 4300mAh Battery",Rs.87999,N/A,N/A,Amazon,N/A
"Samsung Galaxy S26 Ultra 5G (White, 12GB RAM, 512GB Storage) with Built-in Privacy Display, AI Phone, Photo Assist, Creative Studio, 200MP Camera, 5000mAh Battery and Snapdragon 8 Elite Gen 5",Rs.159999,N/A,N/A,Amazon,N/A
"Samsung Galaxy S24 Snapdragon 5G (Onyx Black, 256 GB) (8 GB RAM)",Rs.49249,N/A,(38% off),Amazon,N/A
"Samsung Galaxy S24 5G AI Smartphone (Marble Gray, 8GB, 128GB Storage) with Other Offers",Rs.53999,N/A,(28% off),Amazon,N/A
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)",Rs.39079,N/A,(35% off),Amazon,N/A
"Samsung Galaxy S24 FE 5G AI Smartphone (Blue, 8GB RAM, 128GB Storage)",Rs.39989,N/A,(47% off),Amazon,N/A
"Samsung Galaxy S25 FE 5G Smartphone with Galaxy AI (JetBlack, 8GB RAM, 128GB Storage), 12MP Front Camera, ProVisual Engine, Long Battery Life",Rs.50400,N/A,(16% off),Amazon,N/A
"Samsung Galaxy S24 FE 5G AI Smartphone (Mint, 8GB RAM, 128GB Storage)",Rs.39984,N/A,(33% off),Amazon,N/A
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 256GB Storage)",Rs.49499,N/A,(25% off),Amazon,N/A
"iQOO 15R (Dark Knight, 8GB RAM, 256GB Storage) | Snapdragon® 8 Gen 5 Processor | India’s Slimmest Smartphone in 7600mAh Battery* | Segment's Most Stable 144FPS Gaming*",Rs.44998,N/A,(17% off),Amazon,N/A
"Samsung Galaxy S26 Plus 5G (Black, 12GB RAM, 512GB Storage), AI Phone, Photo Assist, Creative Studio, 50MP Camera, 4900mAh Battery and Super Fast Wireless Charging",Rs.139999,N/A,N/A,Amazon,N/A
OnePlus 15 | 12GB+256GB | Ultra Violet | India's First Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalised AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,Rs.72999,N/A,(5% off),Amazon,N/A
"Samsung Galaxy S24 FE 5G (Mint, 8GB RAM+ 256GB Storage) | Exynos 2400e Processor | Dynamic AMOLED Display | Dual Nano-SIM | 4700mAh Battery",Rs.50499,N/A,(23% off),Amazon,N/A
"Samsung Galaxy S24 FE 5G (Graphite, 8GB RAM, 256GB Storage) | Exynos 2400e Processor | Dynamic AMOLED Display | Dual Nano-SIM | 4700mAh Battery",Rs.51999,N/A,(21% off),Amazon,N/A
"iQOO 15R (Triumph Silver, 8GB RAM, 256GB Storage) | Snapdragon® 8 Gen 5 Processor | India’s Slimmest Smartphone in 7600mAh Battery* | Segment's Most Stable 144FPS Gaming*",Rs.44998,N/A,(17% off),Amazon,N/A
