Title,Price,Rating,Discount,Source,URL
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Black, 12GB RAM, 256GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery",Rs.129999,N/A,N/A,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTM4OTM5NzM3NDI0Mzc5OjE3NjQxODM2NTY6c3BfYXRmOjMwMDQ2NjY1OTA4NTEzMjo6MDo6&url=%2FSamsung-Smartphone-Titanium-Snapdragon-ProVisual%2Fdp%2FB0DSKNQW8F%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3HPSVOKEBI8K6%26dib%3DeyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso%26dib_tag%3Dse%26keywords%3Ds24%2Bultra%26qid%3D1764183655%26sprefix%3Ds24%2Bultra%252Caps%252C295%26sr%3D8-1-spons%26aref%3DrLYN7WJ1Em%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=rLYN7WJ1Em&sp_cr=ZAZ
"Samsung Galaxy Z Fold7 5G Smartphone with Galaxy AI (JetBlack, 12GB RAM, 512GB Storage), Ultra Sleek Design with 200MP Camera, Powerful Snapdragon 8 Elite, Google Gemini",Rs.186999,N/A,N/A,Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTM4OTM5NzM3NDI0Mzc5OjE3NjQxODM2NTY6c3BfYXRmOjMwMDc5MDE4Mzg2NzYzMjo6MDo6&url=%2FSamsung-Smartphone-JetBlack-Powerful-Snapdragon%2Fdp%2FB0FDL3MWL1%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3HPSVOKEBI8K6%26dib%3DeyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso%26dib_tag%3Dse%26keywords%3Ds24%2Bultra%26qid%3D1764183655%26sprefix%3Ds24%2Bultra%252Caps%252C295%26sr%3D8-2-spons%26aref%3DE8qFUFCoTb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=E8qFUFCoTb&sp_cr=ZAZ
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Gray, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery",Rs.84999,N/A,(37% off),Amazon,https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS5XW6TN/ref=sr_1_3?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-3
"Samsung Galaxy S24 Ultra 5G AI Smartphone with Galaxy AI (Titanium Violet, 12GB, 256GB Storage), Snapdragon 8 Gen 3, 200 MP Camera with ProVisual Engine and 5000mAh Battery",Rs.84999,N/A,(37% off),Amazon,https://www.amazon.in/Samsung-Galaxy-Smartphone-Titanium-Storage/dp/B0CS5Z4GD3/ref=sr_1_4?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-4
"Samsung Galaxy S24 Ultra 5G AI Smartphone (Titanium Black, 12GB, 256GB Storage)_with Other Offers",Rs.94999,N/A,(30% off),Amazon,https://www.amazon.in/Samsung-Smartphone-Titanium-Storage-_without/dp/B0CT5BJC16/ref=sr_1_5?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-5
"Samsung Galaxy S24 5G AI Smartphone (Onyx Black, 8GB, 128GB Storage)",Rs.39999,N/A,(47% off),Amazon,https://www.amazon.in/Samsung-Galaxy-Smartphone-Black-Storage/dp/B0CS62KYQY/ref=sr_1_6?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-6
Original Samsung 45 Watt Fast Charger Type C PD GaN Travel 45W Adapter for Samsung Galaxy S25 Ultra/S25/S24 Ultra/S24/S23/S23 Ultra/S22 Ultra/Z Fold6/Flip/Tab S10 Ultra/S9 Fe/A9 Plus/A8,Rs.1197,N/A,(43% off),Amazon,https://www.amazon.in/Original-Samsung-Charger-Travel-Adapter/dp/B0FKGQKYCY/ref=sr_1_7?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-7
Spigen Ez Fit Tempered Glass Full Screen Protector Guard For Samsung Galaxy S24 Ultra Smartphone (2 Pack),Rs.1625,N/A,(44% off),Amazon,https://www.amazon.in/Spigen-Tempered-Protector-S24-Ultra/dp/B0CP32NCGL/ref=sr_1_8?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-8
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Silverblue, 12GB RAM, 512GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery",Rs.141999,N/A,N/A,Amazon,https://www.amazon.in/Samsung-Smartphone-Silverblue-Snapdragon-ProVisual/dp/B0DSBTKP5Q/ref=sr_1_9?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-9
OnePlus 15 | 16GB+512GB | Sand Storm | India's First Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalised AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,Rs.79999,N/A,(5% off),Amazon,https://www.amazon.in/OnePlus-Snapdragon%C2%AE-7300mAh-Personalised-Game-Changing/dp/B0FTR2PJTV/ref=sr_1_10?crid=3HPSVOKEBI8K6&dib=eyJ2IjoiMSJ9.TSTIzp91Ds-y0dHIMXcN93x3JgcNMLHc2SVG4lA22gh8bYpvcCFnowbA9WvbZ3CTWnX4fshTrDkv2SYX4zsQf7QWsuF-cUaA8YnGZJOfbMyQXK6cC2kdnYqPbk3cS8s03n4BVgKFuyIDC-KOwAAZqCFWQPgFnAr2kz6URLcx5F4oU9vB-cDWwjW8dl1qqzMit3OquyRL9EYSe6FJNHbtRBE40M5nq2_bmBb2zQE_2t0.86Sb5ldOWfD-fbLM5kgMdrY8QgLQmPluib2HumVDNso&dib_tag=se&keywords=s24+ultra&qid=1764183655&sprefix=s24+ultra%2Caps%2C295&sr=8-10
