Title,Price,Rating,Discount,Source,URL
Samsung,Rs.74999,N/A,(7% off),Amazon,N/A
Samsung,Rs.74499,N/A,(26% off),Amazon,N/A
Samsung,Rs.50737,N/A,(15% off),Amazon,N/A
Samsung,Rs.138997,N/A,(2% off),Amazon,N/A
Samsung,Rs.50749,N/A,(15% off),Amazon,N/A
Samsung,Rs.54999,N/A,(29% off),Amazon,N/A
Samsung,Rs.74999,N/A,N/A,Amazon,N/A
"Samsung Galaxy S24 Snapdragon 8 Gen 3 5G (Onyx Black, 128 GB) (8 GB RAM)",Rs.45000,N/A,(90% off),Amazon,N/A
Samsung,Rs.87999,N/A,N/A,Amazon,N/A
Samsung,Rs.679,N/A,(60% off),Amazon,N/A
OnePlus,Rs.52999,N/A,(9% off),Amazon,N/A
Samsung,Rs.110999,N/A,(15% off),Amazon,N/A
Samsung,Rs.159999,N/A,N/A,Amazon,N/A
Samsung,Rs.101999,N/A,(16% off),Amazon,N/A
Samsung,Rs.107999,N/A,N/A,Amazon,N/A
Samsung,Rs.15499,N/A,(14% off),Amazon,N/A
OnePlus,Rs.55499,N/A,(8% off),Amazon,N/A
OnePlus,Rs.52999,N/A,(9% off),Amazon,N/A
Samsung,Rs.59999,N/A,N/A,Amazon,N/A
OnePlus,Rs.52999,N/A,(9% off),Amazon,N/A
Samsung,Rs.40449,N/A,(33% off),Amazon,N/A
OnePlus,Rs.72999,N/A,(5% off),Amazon,N/A
