Title,Price,Rating,Discount,Source,URL
TIMEX,₹5217,N/A,(40% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTA2Mzk0NTAxNTMwMzQ3OjE3NjQxODA2MTQ6c3BfYXRmOjMwMDc1Mzg2MTEyNzczMjo6MDo6&url=%2FTIMEX-Analog-Watch-Black-Leather%2Fdp%2FB0F9YQC9NC%2Fref%3Dsr_1_1_sspa%3Fcrid%3D926DFWP4H7TT%26dib%3DeyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk%26dib_tag%3Dse%26keywords%3Dtitan%2Bwatch%26nsdOptOutParam%3Dtrue%26qid%3D1764180614%26sprefix%3D%252Caps%252C209%26sr%3D8-1-spons%26aref%3DXof7i4OWPF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=Xof7i4OWPF&sp_cr=ZAZ
Carlington,₹1899,N/A,(37% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTA2Mzk0NTAxNTMwMzQ3OjE3NjQxODA2MTQ6c3BfYXRmOjMwMDUxMDg1Njg3MjQzMjo6MDo6&url=%2FCarlington-Stainless-Watches-8822-Green%2Fdp%2FB0DL2THVTN%2Fref%3Dsr_1_2_sspa%3Fcrid%3D926DFWP4H7TT%26dib%3DeyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk%26dib_tag%3Dse%26keywords%3Dtitan%2Bwatch%26nsdOptOutParam%3Dtrue%26qid%3D1764180614%26sprefix%3D%252Caps%252C209%26sr%3D8-2-spons%26aref%3Dfb0YAZIR7x%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=fb0YAZIR7x&sp_cr=ZAZ
Carlington,₹1699,N/A,(66% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTA2Mzk0NTAxNTMwMzQ3OjE3NjQxODA2MTQ6c3BfYXRmOjMwMDUxMDg1Njg2OTIzMjo6MDo6&url=%2FCarlington-Legacy-Watches-Chronograph-Silicone%2Fdp%2FB0DZHR6VWC%2Fref%3Dsr_1_3_sspa%3Fcrid%3D926DFWP4H7TT%26dib%3DeyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk%26dib_tag%3Dse%26keywords%3Dtitan%2Bwatch%26nsdOptOutParam%3Dtrue%26qid%3D1764180614%26sprefix%3D%252Caps%252C209%26sr%3D8-3-spons%26aref%3DQCYWXTtsDX%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=QCYWXTtsDX&sp_cr=ZAZ
TIMEX,₹949,N/A,(50% off),Amazon,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTA2Mzk0NTAxNTMwMzQ3OjE3NjQxODA2MTQ6c3BfYXRmOjMwMDEyMDM2MDEzMjQzMjo6MDo6&url=%2FTIMEX-Tw00Zr260E-Leather-Analog-Color-Black%2Fdp%2FB07H3Z4JT6%2Fref%3Dsr_1_4_sspa%3Fcrid%3D926DFWP4H7TT%26dib%3DeyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk%26dib_tag%3Dse%26keywords%3Dtitan%2Bwatch%26nsdOptOutParam%3Dtrue%26qid%3D1764180614%26sprefix%3D%252Caps%252C209%26sr%3D8-4-spons%26aref%3DFxGuZRW0Sb%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=FxGuZRW0Sb&sp_cr=ZAZ
Titan,₹1695,N/A,(15% off),Amazon,https://www.amazon.in/Titan-Karishma-Stainless-Watch-NL1639SM02-NN1639SM02/dp/B00ISNVQMW/ref=sr_1_5?crid=926DFWP4H7TT&dib=eyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk&dib_tag=se&keywords=titan+watch&nsdOptOutParam=true&qid=1764180614&sprefix=%2Caps%2C209&sr=8-5
Titan,₹3396,N/A,(15% off),Amazon,https://www.amazon.in/Titan-Analog-Black-Dial-Watch-1806NM01/dp/B091Q7JNTC/ref=sr_1_6?crid=926DFWP4H7TT&dib=eyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk&dib_tag=se&keywords=titan+watch&nsdOptOutParam=true&qid=1764180614&sprefix=%2Caps%2C209&sr=8-6
Titan,₹2875,N/A,(15% off),Amazon,https://www.amazon.in/Titan-Workwear-Leather-Men-NS1802NL02-NT1802NL02/dp/B08JM33QNK/ref=sr_1_7?crid=926DFWP4H7TT&dib=eyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk&dib_tag=se&keywords=titan+watch&nsdOptOutParam=true&qid=1764180614&sprefix=%2Caps%2C209&sr=8-7
Titan,₹1915,N/A,(20% off),Amazon,https://www.amazon.in/Titan-Quartz-Analog-Stainless-Men-NS1712YM02/dp/B01CLFHBAS/ref=sr_1_8?crid=926DFWP4H7TT&dib=eyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk&dib_tag=se&keywords=titan+watch&nsdOptOutParam=true&qid=1764180614&sprefix=%2Caps%2C209&sr=8-8
Titan,₹13721,N/A,(25% off),Amazon,https://www.amazon.in/Titan-Maritime-Analog-Green-Watch-1830KL02/dp/B07YPJLTQW/ref=sr_1_9?crid=926DFWP4H7TT&dib=eyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk&dib_tag=se&keywords=titan+watch&nsdOptOutParam=true&qid=1764180614&sprefix=%2Caps%2C209&sr=8-9
Titan,₹1695,N/A,(15% off),Amazon,https://www.amazon.in/Titan-Analog-Silver-Dial-Watch-1802SL02/dp/B07MXGGWG4/ref=sr_1_10?crid=926DFWP4H7TT&dib=eyJ2IjoiMSJ9.8lvI6BNiSR0R33wdnomWexTKFaSxRL8mhyiUYHoWEBy-ancGMJTc85s3o7p-zgoNFS10H_28Qv-KlqN9pXk24h7tJ6x38SJpD9TaLXiRq4qGgCf3GK_SPPqeAyjnRu6CPkUeM5DcO5zWW5ZAAqOkTEZv0fxG9O3lNKasyruO5Y54IRuDKWG3i-P8njpGa7g22Ae4_bfOCIE9kOCZ0SmmqPS_6udNc6loK8xy1mKZgYI7ho9blE9cY1pSldqPrJMrszfKyCPbJyXZlYzQ_DjPmwz5TDtfk9vu4eDeXA8aiI8.kBntf5_DQWL9zjR__tcr4ewRBzqqAy4DOAJnbcFf3Nk&dib_tag=se&keywords=titan+watch&nsdOptOutParam=true&qid=1764180614&sprefix=%2Caps%2C209&sr=8-10
